Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Millets,Saline,35,156,144,813,Millets
Barley,Silt,10,50,69,409,Millets
Barley,Clayey,31,246,84,307,Millets
Wheat,Loamy,14,312,82,194,Cotton
Millets,Silt,15,73,102,112,Millets
Millets,Silt,33,209,49,548,Millets
Tobacco,Clayey,15,20,72,414,Millets
Groundnut,Loamy,26,153,53,84,Millets
Cotton,Clayey,11,163,127,674,Millets
Tobacco,Loamy,40,379,48,280,Millets
Tobacco,Loamy,32,195,79,320,Millets
Rice,Silt,12,176,69,677,Sorghum
Wheat,Loamy,23,9,4,121,Cotton
Wheat,Loamy,11,312,104,500,Cotton
Groundnut,Sandy,30,161,134,387,Millets
Cotton,Sandy,17,14,108,184,Millets
Maize,Loamy,18,392,145,449,Cotton
Soybean,Sandy,11,122,47,627,Millets
Soybean,Sandy,32,197,100,515,Millets
Soybean,Silt,34,176,43,453,Millets
Rice,Loamy,28,262,40,94,Wheat
Cotton,Saline,34,28,129,567,Millets
Sorghum,Saline,28,298,90,54,Millets
Tobacco,Loamy,38,316,129,234,Millets
Wheat,Silt,19,162,56,285,Cotton
Millets,Clayey,25,138,36,236,Millets
Wheat,Silt,21,161,37,818,Cotton
Soybean,Silt,31,221,124,531,Millets
Tobacco,Clayey,13,48,11,558,Millets
Soybean,Loamy,33,133,123,74,Millets
Sorghum,Loamy,22,58,140,602,Millets
Tobacco,Silt,27,13,94,180,Millets
Millets,Loamy,29,34,84,843,Millets
Rice,Sandy,16,238,64,276,Sorghum
Rice,Saline,24,152,10,384,Sorghum
Tobacco,Silt,23,356,140,356,Millets
Maize,Silt,31,78,106,381,Rice
Rice,Silt,16,111,13,333,Sorghum
Millets,Saline,38,395,82,683,Millets
Tobacco,Clayey,22,93,121,635,Millets
Soybean,Sandy,33,283,10,351,Millets
Wheat,Clayey,12,248,77,513,Cotton
Barley,Sandy,25,357,63,850,Millets
Sorghum,Clayey,34,57,72,414,Millets
Millets,Clayey,25,191,137,460,Millets
Barley,Loamy,37,123,141,328,Millets
Rice,Clayey,13,225,66,678,Wheat
Cotton,Loamy,33,291,11,187,Millets
Soybean,Loamy,14,315,26,162,Millets
Groundnut,Loamy,40,337,89,663,Millets
Barley,Saline,38,50,57,501,Millets
Soybean,Loamy,17,398,45,702,Millets
Tobacco,Silt,22,173,117,495,Millets
Barley,Sandy,19,107,32,261,Millets
Sorghum,Clayey,10,189,106,599,Millets
Soybean,Clayey,23,206,88,120,Millets
Rice,Loamy,30,235,39,325,Wheat
Wheat,Clayey,21,17,77,374,Cotton
Millets,Silt,32,280,131,277,Millets
Cotton,Sandy,38,176,16,609,Millets
Wheat,Saline,32,331,65,270,Cotton
Sorghum,Saline,28,361,121,294,Millets
Barley,Saline,26,173,99,110,Millets
Soybean,Silt,34,137,131,229,Millets
Rice,Loamy,23,240,2,584,Wheat
Cotton,Saline,17,393,126,546,Millets
Tobacco,Clayey,30,6,86,851,Millets
Millets,Silt,19,246,41,120,Millets
Cotton,Loamy,32,235,2,125,Millets
Tobacco,Loamy,38,84,88,13,Millets
Wheat,Clayey,22,299,141,255,Cotton
Soybean,Silt,11,94,118,160,Millets
Cotton,Clayey,19,199,11,187,Millets
Soybean,Silt,10,192,27,63,Millets
Tobacco,Silt,16,370,48,669,Millets
Sorghum,Sandy,10,244,34,538,Millets
Rice,Sandy,23,14,94,355,Sorghum
Wheat,Clayey,17,327,16,237,Cotton
Rice,Clayey,16,342,108,612,Wheat
Groundnut,Loamy,26,170,23,770,Millets
Sorghum,Loamy,11,80,123,504,Millets
Soybean,Sandy,15,381,16,501,Millets
Tobacco,Silt,31,255,28,577,Millets
Barley,Clayey,10,42,43,164,Millets
Wheat,Loamy,22,307,119,145,Cotton
Maize,Sandy,32,174,147,584,Cotton
Maize,Saline,11,292,110,844,Rice
Barley,Silt,10,64,67,717,Millets
Millets,Loamy,26,382,80,475,Millets
Millets,Silt,23,84,58,1,Millets
Tobacco,Saline,26,379,37,129,Millets
Sorghum,Loamy,10,283,73,388,Millets
Wheat,Clayey,16,352,40,633,Cotton
Rice,Loamy,13,30,2,328,Wheat
Soybean,Clayey,15,152,100,281,Millets
Rice,Silt,38,391,83,73,Sorghum
Barley,Saline,24,154,125,838,Millets
Tobacco,Sandy,35,282,146,36,Millets
Soybean,Clayey,19,2,133,495,Millets
Cotton,Sandy,11,270,54,496,Millets
Groundnut,Saline,16,335,90,420,Millets
Maize,Silt,14,66,2,408,Rice
Sorghum,Saline,18,132,71,111,Millets
Sorghum,Sandy,18,162,25,878,Millets
Soybean,Clayey,32,282,111,698,Millets
Soybean,Silt,34,86,62,131,Millets
Sorghum,Loamy,26,286,105,44,Millets
Cotton,Sandy,33,238,98,33,Millets
Soybean,Clayey,12,17,72,165,Millets
Sorghum,Loamy,36,260,78,658,Millets
Sorghum,Loamy,27,367,143,166,Millets
Wheat,Saline,11,123,135,55,Cotton
Sorghum,Silt,39,65,95,584,Millets
Rice,Sandy,35,220,86,398,Sorghum
Rice,Loamy,37,102,148,623,Wheat
Cotton,Sandy,38,314,119,624,Millets
Maize,Clayey,19,351,10,774,Rice
Barley,Silt,13,365,90,452,Millets
Tobacco,Silt,14,316,86,358,Millets
Rice,Loamy,38,298,40,555,Wheat
Rice,Silt,18,102,123,743,Sorghum
Barley,Clayey,23,46,107,96,Millets
Barley,Loamy,25,359,38,810,Millets
Soybean,Saline,35,244,62,2,Millets
Wheat,Loamy,15,217,80,719,Cotton
Rice,Loamy,16,267,50,592,Wheat
Wheat,Clayey,33,375,50,388,Cotton
Barley,Silt,13,242,98,50,Millets
Tobacco,Loamy,36,9,76,248,Millets
Groundnut,Silt,22,248,39,72,Millets
Millets,Sandy,18,327,39,50,Millets
Barley,Loamy,14,155,14,619,Millets
Sorghum,Sandy,26,114,100,308,Millets
Sorghum,Silt,29,118,61,446,Millets
Maize,Silt,40,340,89,712,Rice
Cotton,Saline,12,77,95,597,Millets
Wheat,Silt,27,348,59,765,Cotton
Soybean,Saline,31,138,11,750,Millets
Maize,Loamy,16,241,23,894,Cotton
Groundnut,Clayey,38,113,87,422,Millets
Rice,Clayey,39,336,27,797,Wheat
Soybean,Loamy,11,286,16,670,Millets
Tobacco,Loamy,20,384,37,232,Millets
Millets,Clayey,14,3,135,362,Millets
Barley,Silt,26,87,87,529,Millets
Millets,Loamy,26,99,52,689,Millets
Barley,Sandy,32,149,7,143,Millets
Groundnut,Loamy,22,66,16,42,Millets
Soybean,Clayey,13,146,109,163,Millets
Soybean,Loamy,20,232,90,66,Millets
Groundnut,Sandy,14,164,69,131,Millets
Soybean,Clayey,20,133,113,805,Millets
Sorghum,Loamy,21,186,76,709,Millets
Maize,Saline,10,180,8,571,Rice
Cotton,Silt,10,97,71,653,Millets
Barley,Silt,36,20,53,270,Millets
Rice,Loamy,36,397,23,657,Wheat
Soybean,Loamy,28,60,140,568,Millets
Barley,Silt,30,255,2,223,Millets
Groundnut,Silt,39,97,135,610,Millets
Rice,Sandy,33,275,86,207,Sorghum
Soybean,Clayey,23,343,53,814,Millets
Cotton,Sandy,34,287,34,626,Millets
Rice,Clayey,32,153,120,498,Wheat
Sorghum,Loamy,38,302,135,656,Millets
Barley,Loamy,33,127,11,577,Millets
Tobacco,Clayey,30,8,24,37,Millets
Sorghum,Sandy,27,263,41,361,Millets
Rice,Saline,16,55,134,784,Sorghum
Sorghum,Silt,11,62,140,231,Millets
Soybean,Sandy,26,58,128,415,Millets
Tobacco,Saline,17,153,39,176,Millets
Groundnut,Silt,21,33,135,88,Millets
Groundnut,Saline,18,373,58,199,Millets
Maize,Sandy,28,194,137,701,Cotton
Groundnut,Sandy,28,196,118,390,Millets
Soybean,Loamy,35,158,84,72,Millets
Tobacco,Sandy,18,55,96,551,Millets
Soybean,Sandy,24,25,35,646,Millets
Maize,Silt,10,46,139,13,Rice
Barley,Clayey,15,297,134,175,Millets
Rice,Clayey,14,313,66,148,Wheat
Cotton,Loamy,36,347,94,88,Millets
Rice,Loamy,26,201,104,792,Wheat
Groundnut,Clayey,11,400,103,593,Millets
Groundnut,Saline,30,178,49,578,Millets
Cotton,Silt,37,61,148,820,Millets
Maize,Sandy,31,363,27,391,Cotton
Barley,Clayey,22,301,80,209,Millets
Cotton,Saline,37,92,47,0,Millets
Soybean,Saline,30,110,1,334,Millets
Millets,Loamy,32,134,147,103,Millets
Soybean,Clayey,22,347,128,226,Millets
Tobacco,Loamy,40,19,40,459,Millets
Wheat,Silt,11,382,144,853,Cotton
Maize,Sandy,32,139,37,272,Cotton
Maize,Silt,28,382,82,658,Rice
Millets,Clayey,13,74,137,19,Millets
Soybean,Clayey,15,259,2,30,Millets
Groundnut,Sandy,22,287,18,407,Millets
Maize,Silt,24,332,93,753,Rice
Millets,Clayey,17,245,90,733,Millets
Wheat,Silt,30,374,147,126,Cotton
Barley,Sandy,32,388,122,743,Millets
Wheat,Clayey,36,264,11,475,Cotton
Barley,Clayey,11,81,42,594,Millets
Maize,Silt,18,60,95,405,Rice
Sorghum,Clayey,23,337,25,118,Millets
Rice,Clayey,30,379,44,176,Wheat
Wheat,Silt,32,221,33,898,Cotton
Maize,Saline,40,328,6,496,Rice
Groundnut,Saline,13,234,40,754,Millets
Wheat,Clayey,23,192,132,6,Cotton
Cotton,Silt,32,41,52,126,Millets
Groundnut,Loamy,18,46,28,556,Millets
Tobacco,Loamy,40,56,92,606,Millets
Maize,Clayey,27,113,98,530,Rice
Wheat,Clayey,24,333,89,360,Cotton
Cotton,Saline,19,153,108,887,Millets
Cotton,Sandy,27,2,82,94,Millets
Maize,Silt,32,156,32,316,Rice
Rice,Saline,32,57,66,613,Sorghum
Groundnut,Saline,35,345,44,236,Millets
Maize,Clayey,16,388,19,361,Rice
Rice,Saline,27,356,33,377,Sorghum
Groundnut,Clayey,28,155,55,22,Millets
Rice,Saline,33,165,127,899,Sorghum
Soybean,Saline,22,9,91,232,Millets
Sorghum,Saline,29,42,62,557,Millets
Tobacco,Sandy,32,367,80,370,Millets
Barley,Clayey,21,240,108,431,Millets
Groundnut,Silt,33,283,87,667,Millets
Wheat,Saline,15,386,69,795,Cotton
Maize,Sandy,20,383,58,883,Cotton
Millets,Clayey,17,273,116,753,Millets
Millets,Sandy,10,14,34,774,Millets
Cotton,Silt,19,26,3,96,Millets
Cotton,Clayey,34,390,39,813,Millets
Cotton,Clayey,21,55,5,402,Millets
Cotton,Clayey,17,99,5,843,Millets
Wheat,Silt,30,96,100,179,Cotton
Groundnut,Sandy,29,206,98,513,Millets
Cotton,Sandy,26,49,52,559,Millets
Groundnut,Clayey,31,49,0,664,Millets
Millets,Loamy,28,76,119,31,Millets
Millets,Saline,27,32,2,703,Millets
Soybean,Loamy,14,74,83,660,Millets
Wheat,Saline,29,169,99,73,Cotton
Maize,Saline,16,112,77,54,Rice
Wheat,Saline,40,69,95,6,Cotton
Soybean,Loamy,37,389,119,607,Millets
Tobacco,Clayey,14,24,103,673,Millets
Sorghum,Saline,34,212,53,511,Millets
Wheat,Sandy,19,173,106,538,Soybean
Barley,Sandy,38,290,135,847,Millets
Tobacco,Silt,30,353,29,507,Millets
Sorghum,Sandy,18,337,123,711,Millets
Tobacco,Sandy,35,33,125,479,Millets
Wheat,Loamy,33,315,100,735,Cotton
Groundnut,Loamy,30,155,19,560,Millets
Maize,Silt,25,333,115,899,Rice
Millets,Clayey,23,99,15,596,Millets
Tobacco,Loamy,11,185,145,538,Millets
Millets,Loamy,29,130,23,244,Millets
Cotton,Clayey,26,83,25,313,Millets
Wheat,Loamy,35,344,58,808,Cotton
Tobacco,Clayey,37,367,113,9,Millets
Groundnut,Loamy,11,196,47,621,Millets
Maize,Silt,27,361,33,871,Rice
Sorghum,Clayey,24,208,142,555,Millets
Maize,Loamy,17,392,109,304,Cotton
Sorghum,Loamy,30,353,14,683,Millets
Millets,Saline,29,48,34,673,Millets
Millets,Clayey,31,323,59,326,Millets
Millets,Saline,10,243,19,89,Millets
Groundnut,Saline,39,237,44,230,Millets
Millets,Silt,18,286,91,221,Millets
Barley,Loamy,37,26,128,741,Millets
Barley,Silt,39,195,127,48,Millets
Cotton,Silt,28,85,57,45,Millets
Groundnut,Silt,25,2,128,291,Millets
Millets,Sandy,27,305,107,385,Millets
Tobacco,Clayey,14,50,88,132,Millets
Sorghum,Silt,15,55,107,897,Millets
Rice,Silt,13,301,12,644,Sorghum
Maize,Loamy,10,36,32,266,Cotton
Cotton,Clayey,40,376,142,247,Millets
Tobacco,Loamy,28,400,25,321,Millets
Groundnut,Clayey,12,183,59,74,Millets
Maize,Clayey,37,215,123,605,Rice
Groundnut,Loamy,14,197,35,891,Millets
Barley,Sandy,16,2,111,27,Millets
Cotton,Saline,37,262,77,734,Millets
Wheat,Clayey,10,222,78,515,Cotton
Groundnut,Loamy,26,381,82,344,Millets
Wheat,Loamy,38,313,122,730,Cotton
Tobacco,Silt,32,193,60,561,Millets
Maize,Loamy,27,299,55,777,Cotton
Barley,Silt,17,293,92,179,Millets
Millets,Sandy,20,281,108,242,Millets
Tobacco,Saline,33,241,24,663,Millets
Wheat,Clayey,15,347,74,294,Cotton
Maize,Loamy,10,225,66,748,Cotton
Millets,Clayey,19,6,39,483,Millets
Groundnut,Sandy,13,216,128,608,Millets
Sorghum,Saline,17,58,31,696,Millets
Millets,Loamy,25,9,94,708,Millets
Wheat,Loamy,16,181,13,428,Cotton
Barley,Saline,35,149,72,535,Millets
Tobacco,Clayey,17,340,90,733,Millets
Sorghum,Clayey,34,40,35,899,Millets
Wheat,Clayey,34,267,19,225,Cotton
Groundnut,Clayey,25,341,116,782,Millets
Rice,Loamy,35,383,80,794,Wheat
Barley,Sandy,11,397,130,273,Millets
Barley,Silt,40,230,102,245,Millets
Millets,Saline,28,140,0,203,Millets
Cotton,Silt,24,188,56,838,Millets
Maize,Saline,11,269,29,830,Rice
Maize,Loamy,38,214,43,644,Cotton
Soybean,Sandy,27,100,114,885,Millets
Wheat,Saline,40,116,67,30,Cotton
Groundnut,Loamy,29,251,91,849,Millets
Barley,Loamy,40,232,31,897,Millets
Barley,Sandy,26,315,102,808,Millets
Barley,Loamy,28,107,86,710,Millets
Sorghum,Loamy,19,74,144,104,Millets
Sorghum,Saline,21,235,145,538,Millets
Cotton,Loamy,38,23,87,749,Millets
Groundnut,Sandy,38,370,72,220,Millets
Rice,Loamy,37,70,107,810,Wheat
Tobacco,Silt,23,277,124,387,Millets
Groundnut,Clayey,39,220,114,401,Millets
Tobacco,Loamy,23,162,123,195,Millets
Maize,Sandy,21,81,107,295,Cotton
Sorghum,Clayey,32,56,9,743,Millets
Rice,Loamy,35,309,139,145,Wheat
Wheat,Saline,28,220,43,606,Cotton
Soybean,Clayey,40,264,121,457,Millets
Millets,Loamy,40,155,100,864,Millets
Barley,Clayey,14,299,58,613,Millets
Groundnut,Sandy,35,221,139,885,Millets
Soybean,Sandy,10,342,72,674,Millets
Maize,Saline,19,96,61,667,Rice
Cotton,Sandy,35,194,88,443,Millets
Wheat,Silt,25,37,56,670,Cotton
Soybean,Loamy,28,146,87,216,Millets
Barley,Sandy,33,217,13,850,Millets
Tobacco,Clayey,31,82,105,779,Millets
Barley,Silt,15,64,43,14,Millets
Tobacco,Sandy,21,324,114,895,Millets
Maize,Loamy,39,72,122,113,Cotton
Wheat,Sandy,18,105,75,571,Soybean
Soybean,Silt,15,227,61,713,Millets
Barley,Loamy,37,2,21,649,Millets
Groundnut,Sandy,10,233,133,696,Millets
Millets,Silt,32,74,107,688,Millets
Tobacco,Loamy,28,304,110,559,Millets
Tobacco,Saline,14,288,132,445,Millets
Maize,Sandy,24,17,49,118,Cotton
Rice,Clayey,29,306,146,599,Wheat
Cotton,Silt,37,78,134,97,Millets
Soybean,Saline,24,306,72,291,Millets
Tobacco,Sandy,20,383,18,284,Millets
Soybean,Loamy,25,129,81,465,Millets
Tobacco,Saline,22,287,134,341,Millets
Maize,Sandy,23,93,96,484,Cotton
Soybean,Silt,20,221,61,255,Millets
Sorghum,Sandy,31,319,15,658,Millets
Soybean,Sandy,36,219,129,391,Millets
Wheat,Silt,22,240,121,331,Cotton
Soybean,Saline,27,186,108,625,Millets
Barley,Silt,20,106,130,759,Millets
Cotton,Sandy,35,32,7,591,Millets
Sorghum,Clayey,35,100,38,282,Millets
Sorghum,Sandy,16,371,9,294,Millets
Sorghum,Sandy,24,201,48,154,Millets
Sorghum,Loamy,40,236,69,205,Millets
Tobacco,Saline,40,64,13,4,Millets
Tobacco,Sandy,24,362,15,278,Millets
Cotton,Saline,29,110,135,783,Millets
Cotton,Sandy,30,37,45,634,Millets
Sorghum,Loamy,29,293,18,716,Millets
Tobacco,Silt,22,368,106,660,Millets
Groundnut,Saline,13,21,33,162,Millets
Rice,Loamy,11,131,118,865,Wheat
Maize,Loamy,32,185,14,73,Cotton
Maize,Saline,24,8,49,230,Rice
Wheat,Clayey,32,252,59,578,Cotton
Tobacco,Silt,15,321,42,580,Millets
Tobacco,Silt,38,373,29,269,Millets
Millets,Loamy,27,169,108,438,Millets
Groundnut,Sandy,24,383,75,397,Millets
Barley,Sandy,23,3,55,651,Millets
Groundnut,Saline,24,362,99,707,Millets
Tobacco,Silt,30,229,2,518,Millets
Wheat,Clayey,27,271,143,785,Cotton
Tobacco,Sandy,24,18,27,106,Millets
Soybean,Loamy,15,75,96,850,Millets
Maize,Silt,32,205,98,728,Rice
Wheat,Clayey,24,84,90,43,Cotton
Cotton,Sandy,17,400,11,284,Millets
Cotton,Clayey,32,171,136,774,Millets
Groundnut,Silt,34,123,32,735,Millets
Soybean,Loamy,15,177,72,141,Millets
Wheat,Loamy,22,34,125,770,Cotton
Maize,Loamy,22,66,120,714,Cotton
Rice,Saline,36,135,59,44,Sorghum
Rice,Clayey,21,132,60,756,Wheat
Groundnut,Loamy,32,241,93,419,Millets
Groundnut,Clayey,17,283,98,36,Millets
Millets,Sandy,16,97,53,247,Millets
Barley,Sandy,24,70,141,143,Millets
Maize,Sandy,14,186,64,178,Cotton
Soybean,Loamy,34,18,63,82,Millets
Cotton,Clayey,31,332,55,751,Millets
Tobacco,Clayey,10,361,124,854,Millets
Groundnut,Silt,24,346,87,402,Millets
Millets,Loamy,12,345,64,384,Millets
Maize,Silt,33,164,92,858,Rice
Tobacco,Loamy,22,146,69,774,Millets
Sorghum,Clayey,23,202,92,537,Millets
Maize,Clayey,39,242,25,859,Rice
Barley,Silt,20,122,109,645,Millets
Groundnut,Silt,11,297,94,62,Millets
Tobacco,Loamy,28,311,142,691,Millets
Cotton,Sandy,13,285,62,813,Millets
Maize,Clayey,27,305,144,712,Rice
Wheat,Silt,32,142,55,532,Cotton
Tobacco,Saline,32,106,128,866,Millets
Cotton,Loamy,23,92,77,265,Millets
Tobacco,Clayey,25,124,64,220,Millets
Wheat,Silt,23,117,147,694,Cotton
Rice,Saline,21,72,102,99,Sorghum
Soybean,Saline,12,159,103,796,Millets
Millets,Clayey,33,336,132,16,Millets
Groundnut,Saline,32,69,34,575,Millets
Sorghum,Loamy,31,183,94,52,Millets
Maize,Silt,30,259,7,113,Rice
Barley,Silt,19,374,147,340,Millets
Cotton,Sandy,38,119,0,597,Millets
Barley,Saline,11,328,114,235,Millets
Wheat,Loamy,13,146,24,628,Cotton
Sorghum,Saline,15,82,56,114,Millets
Soybean,Saline,26,310,149,139,Millets
Maize,Sandy,36,354,51,553,Cotton
Millets,Clayey,27,75,23,861,Millets
Cotton,Silt,19,338,82,788,Millets
Millets,Silt,15,61,2,803,Millets
Sorghum,Loamy,34,196,70,351,Millets
Cotton,Clayey,28,165,32,759,Millets
Soybean,Saline,38,87,14,159,Millets
Millets,Loamy,10,171,32,777,Millets
Barley,Saline,16,113,120,143,Millets
Soybean,Clayey,30,310,34,79,Millets
Millets,Sandy,39,272,113,636,Millets
Millets,Saline,33,109,64,182,Millets
Sorghum,Silt,15,163,126,721,Millets
Millets,Sandy,14,284,69,702,Millets
Wheat,Clayey,36,379,98,561,Cotton
Maize,Clayey,40,315,80,437,Rice
Millets,Saline,38,5,0,315,Millets
Millets,Saline,37,226,24,884,Millets
Soybean,Saline,14,369,126,0,Millets
Barley,Sandy,23,399,81,721,Millets
Sorghum,Silt,19,182,95,888,Millets
Wheat,Clayey,38,291,8,228,Cotton
Millets,Saline,14,14,85,398,Millets
Millets,Clayey,30,285,99,505,Millets
Sorghum,Saline,25,197,92,506,Millets
Rice,Loamy,32,282,138,158,Wheat
Maize,Loamy,11,183,28,600,Cotton
Wheat,Clayey,12,119,71,560,Cotton
Barley,Clayey,12,324,59,452,Millets
Soybean,Silt,15,337,91,474,Millets
Soybean,Silt,31,77,147,841,Millets
Sorghum,Silt,36,119,48,843,Millets
Barley,Sandy,30,49,124,521,Millets
Millets,Silt,17,295,139,821,Millets
Soybean,Clayey,25,153,138,449,Millets
Sorghum,Silt,35,185,64,876,Millets
Rice,Sandy,31,86,53,789,Sorghum
Sorghum,Silt,28,322,128,438,Millets
Millets,Silt,32,200,60,42,Millets
Maize,Silt,22,103,55,501,Rice
Sorghum,Loamy,38,184,36,858,Millets
Sorghum,Saline,24,150,44,149,Millets
Sorghum,Loamy,32,335,96,461,Millets
Millets,Saline,17,332,85,855,Millets
Tobacco,Loamy,13,249,83,633,Millets
Soybean,Loamy,23,210,69,803,Millets
Barley,Clayey,29,39,70,337,Millets
Cotton,Silt,39,355,101,174,Millets
Soybean,Clayey,26,329,132,614,Millets
Tobacco,Clayey,32,247,139,775,Millets
Groundnut,Sandy,36,306,87,833,Millets
Millets,Sandy,37,246,149,638,Millets
Wheat,Loamy,23,237,71,324,Cotton
Tobacco,Loamy,12,60,11,131,Millets
Groundnut,Clayey,38,75,21,36,Millets
Cotton,Silt,38,192,40,1,Millets
Tobacco,Saline,11,112,78,558,Millets
Millets,Silt,29,15,71,588,Millets
Cotton,Silt,23,103,96,695,Millets
Barley,Saline,21,122,69,321,Millets
Barley,Saline,19,107,2,519,Millets
Rice,Sandy,21,161,57,785,Sorghum
Tobacco,Silt,11,314,93,11,Millets
Rice,Silt,23,355,29,168,Sorghum
Wheat,Clayey,14,399,105,614,Cotton
Soybean,Loamy,40,371,140,284,Millets
Millets,Loamy,28,173,9,807,Millets
Sorghum,Clayey,20,319,55,590,Millets
Millets,Sandy,16,278,124,267,Millets
Millets,Loamy,22,286,114,640,Millets
Sorghum,Sandy,20,357,37,800,Millets
Millets,Clayey,29,365,138,321,Millets
Sorghum,Silt,21,343,123,232,Millets
Barley,Silt,21,55,129,536,Millets
Rice,Loamy,31,397,3,105,Wheat
Sorghum,Silt,27,115,124,531,Millets
Groundnut,Silt,28,60,69,649,Millets
Groundnut,Loamy,20,23,146,737,Millets
Sorghum,Silt,15,327,64,71,Millets
Millets,Silt,37,78,28,160,Millets
Rice,Loamy,28,56,48,768,Wheat
Cotton,Clayey,25,11,140,719,Millets
Wheat,Silt,29,235,114,234,Cotton
Cotton,Clayey,20,349,110,256,Millets
Sorghum,Clayey,25,157,7,713,Millets
Cotton,Sandy,25,217,34,696,Millets
Soybean,Sandy,20,201,134,3,Millets
Rice,Clayey,29,40,100,671,Wheat
Sorghum,Loamy,19,146,13,829,Millets
Millets,Silt,32,180,131,875,Millets
Wheat,Silt,26,77,39,725,Cotton
Rice,Clayey,30,17,24,208,Wheat
Cotton,Loamy,17,333,102,181,Millets
Soybean,Loamy,37,124,119,773,Millets
Maize,Loamy,24,290,101,431,Cotton
Sorghum,Sandy,23,395,94,275,Millets
Maize,Sandy,37,176,100,537,Cotton
Millets,Silt,30,122,132,131,Millets
Tobacco,Clayey,19,204,90,5,Millets
Cotton,Loamy,29,330,124,596,Millets
Groundnut,Clayey,29,173,90,645,Millets
Millets,Silt,27,163,32,474,Millets
Wheat,Silt,30,31,31,601,Cotton
Barley,Clayey,12,160,95,616,Millets
Tobacco,Saline,39,389,95,93,Millets
Barley,Clayey,26,346,65,564,Millets
Groundnut,Loamy,15,221,48,896,Millets
Rice,Sandy,14,122,103,257,Sorghum
Tobacco,Loamy,34,133,116,206,Millets
Wheat,Silt,14,117,38,868,Cotton
Soybean,Loamy,36,62,72,805,Millets
Millets,Clayey,11,364,55,207,Millets
Wheat,Sandy,22,313,13,645,Soybean
Sorghum,Silt,35,292,134,430,Millets
Soybean,Saline,18,324,43,417,Millets
Wheat,Clayey,13,353,102,478,Cotton
Millets,Saline,36,337,75,75,Millets
Barley,Silt,17,63,122,725,Millets
Cotton,Loamy,22,265,48,27,Millets
Wheat,Loamy,27,8,28,407,Cotton
Groundnut,Silt,28,55,39,819,Millets
Soybean,Silt,18,136,149,845,Millets
Groundnut,Loamy,15,133,79,232,Millets
Groundnut,Clayey,31,111,34,656,Millets
Sorghum,Clayey,34,55,52,299,Millets
Soybean,Sandy,25,273,14,579,Millets
Soybean,Sandy,24,46,2,478,Millets
Rice,Silt,33,288,84,202,Sorghum
Cotton,Silt,19,38,150,469,Millets
Barley,Clayey,32,349,27,367,Millets
Cotton,Saline,18,338,116,74,Millets
Tobacco,Saline,36,343,70,640,Millets
Barley,Loamy,36,319,122,884,Millets
Barley,Silt,11,365,76,125,Millets
Sorghum,Sandy,35,335,60,775,Millets
Wheat,Silt,30,165,63,619,Cotton
Cotton,Loamy,39,219,90,351,Millets
Millets,Sandy,19,101,48,598,Millets
Maize,Clayey,26,182,136,634,Rice
Soybean,Saline,25,277,72,235,Millets
Tobacco,Saline,23,89,9,448,Millets
Cotton,Clayey,38,189,145,899,Millets
Groundnut,Saline,15,211,136,531,Millets
Millets,Saline,19,379,71,897,Millets
Rice,Clayey,39,392,146,555,Wheat
Barley,Clayey,20,58,147,69,Millets
Cotton,Loamy,18,237,134,500,Millets
Cotton,Silt,23,379,149,265,Millets
Soybean,Sandy,19,151,19,856,Millets
Rice,Loamy,10,96,36,768,Wheat
Tobacco,Silt,32,393,130,666,Millets
Wheat,Sandy,15,23,48,179,Soybean
Soybean,Saline,25,192,59,842,Millets
Wheat,Clayey,20,250,2,248,Cotton
Cotton,Clayey,31,363,80,265,Millets
Barley,Silt,12,335,101,519,Millets
Groundnut,Clayey,23,50,70,574,Millets
Tobacco,Sandy,31,168,91,295,Millets
Maize,Clayey,29,65,127,894,Rice
Barley,Clayey,25,12,103,175,Millets
Millets,Saline,19,122,45,132,Millets
Wheat,Saline,32,373,139,119,Cotton
Sorghum,Sandy,38,223,101,496,Millets
Maize,Silt,20,378,87,466,Rice
Wheat,Loamy,12,398,129,456,Cotton
Sorghum,Clayey,39,355,48,778,Millets
Sorghum,Saline,31,189,28,41,Millets
Soybean,Silt,11,266,138,268,Millets
Groundnut,Sandy,20,258,123,729,Millets
Soybean,Sandy,31,270,2,838,Millets
Rice,Loamy,11,309,21,94,Wheat
Cotton,Silt,32,111,3,411,Millets
Barley,Saline,17,171,99,711,Millets
Maize,Silt,12,343,83,141,Rice
Wheat,Sandy,19,234,103,615,Soybean
Barley,Clayey,11,24,110,451,Millets
Cotton,Sandy,29,329,104,256,Millets
Wheat,Saline,10,358,93,149,Cotton
Soybean,Clayey,25,346,17,18,Millets
Rice,Sandy,29,122,0,888,Sorghum
Groundnut,Sandy,20,98,76,883,Millets
Tobacco,Saline,21,113,145,96,Millets
Cotton,Sandy,40,299,16,470,Millets
Maize,Clayey,10,330,123,361,Rice
Wheat,Saline,22,96,73,835,Cotton
Sorghum,Saline,15,159,97,600,Millets
Sorghum,Loamy,17,379,7,170,Millets
Groundnut,Loamy,38,137,39,260,Millets
Maize,Clayey,22,307,11,124,Rice
Soybean,Sandy,19,34,70,207,Millets
Sorghum,Saline,24,93,149,16,Millets
Wheat,Loamy,26,272,66,838,Cotton
Rice,Loamy,33,230,134,653,Wheat
Sorghum,Sandy,25,105,135,851,Millets
